Congress,congress,nulls,age,tenure,unified
1st,1,0,49.799999,.80000001,1
2nd,2,0,53,2.5,1
3rd,3,0,52.799999,4.1999998,0
4th,4,0,53.299999,3.8,1
5th,5,0,52,4,1
6th,6,0,53.299999,4.8000002,1
7th,7,0,53.700001,5.6999998,1
8th,8,1,53,7.1999998,1
9th,9,0,53,7,1
10th,10,0,53.299999,7.9000001,1
11th,11,0,55.299999,9.8999996,1
12th,12,0,49,6.5999999,1
13th,13,0,51,8.6000004,1
14th,14,0,53,10.6,1
15th,15,0,55,12.6,1
16th,16,0,57,14.6,1
17th,17,0,59,16.6,1
18th,18,0,59.400002,16.1,1
19th,19,0,59.700001,15.4,1
20th,20,0,61.700001,17.4,1
21st,21,0,60,14.4,1
22nd,22,0,62,16.4,1
23rd,23,0,64,18.4,1
24th,24,0,55.700001,7.4000001,1
25th,25,0,57.200001,7.5999999,1
26th,26,0,59.200001,9.6000004,1
27th,27,0,61.099998,11,1
28th,28,0,61.400002,12,1
29th,29,0,59.700001,7,1
30th,30,0,61.700001,9,0
31st,31,0,63.700001,11,1
32nd,32,0,63.400002,12.3,1
33rd,33,0,62,12.6,1
34th,34,0,64,14.6,0
35th,35,1,66.699997,15.8,1
36th,36,0,68.699997,17.799999,0
37th,37,0,64.599998,12.8,1
38th,38,0,61.599998,10.6,1
39th,39,1,61.799999,10.8,1
40th,40,2,62,9.5,1
41st,41,4,61.700001,8.1999998,1
42nd,42,1,61.700001,7.1999998,1
43rd,43,0,62.799999,8.1000004,1
44th,44,1,64.800003,10.1,0
45th,45,1,64.800003,10.2,0
46th,46,1,65,11.1,1
47th,47,0,60.900002,7.5999999,0
48th,48,2,62.900002,9.6000004,0
49th,49,1,64.900002,11.6,0
50th,50,1,64.900002,11.1,0
51st,51,0,63.700001,9.1000004,0
52nd,52,0,63.900002,8.6999998,0
53rd,53,1,62.299999,8.8000002,1
54th,54,2,63.700001,10.6,1
55th,55,0,62.700001,8.6999998,1
56th,56,2,64.699997,10.7,1
57th,57,1,65.199997,10.3,1
58th,58,0,65,11.1,1
59th,59,3,64.900002,11.3,1
60th,60,2,66.900002,13.3,1
61st,61,2,61.900002,8.6000004,1
62nd,62,3,61.099998,6.6999998,0
63rd,63,0,61.099998,8.1000004,1
64th,64,2,63.799999,8.8000002,1
65th,65,1,65.800003,10.8,1
66th,66,3,67.800003,12.8,1
67th,67,6,66,9,1
68th,68,3,67.199997,9.8000002,1
69th,69,2,66,8.8000002,1
70th,70,3,68,10.8,1
71st,71,0,68.300003,11.6,1
72nd,72,1,67.099998,10.2,0
73rd,73,2,69.099998,12.2,1
74th,74,10,71.099998,14.2,1
75th,75,0,67.699997,11.4,1
76th,76,0,61.099998,8.1000004,1
77th,77,0,57.799999,5.3000002,1
78th,78,1,58.099998,7.0999999,1
79th,79,1,56.700001,5.0999999,1
80th,80,0,58.700001,7.0999999,0
81st,81,0,60.099998,7.4000001,1
82nd,82,1,62.099998,9.3999996,1
83rd,83,1,64,10.7,1
84th,84,1,63.400002,10.3,1
85th,85,2,60.599998,8.8000002,1
86th,86,3,62.599998,10.8,1
87th,87,0,59.900002,9.6999998,1
88th,88,3,61.900002,11.7,1
89th,89,4,63.700001,13.3,1
90th,90,6,64.699997,13.3,1
91st,91,6,65.099998,13,1
92nd,92,5,62,9.1999998,1
93rd,93,4,64,11.2,1
94th,94,3,63.599998,9.1999998,1
95th,95,4,65.599998,11.2,1
96th,96,2,67.599998,13.2,1
97th,97,2,67.900002,12.7,0
98th,98,7,69.900002,14.7,0
99th,99,3,71.900002,16.700001,0
100th,100,2,67.400002,15,1
101st,101,2,68,13.2,1
102nd,102,2,66.111099,13.277777,1
103rd,103,0,63.200001,10.5,1
104th,104,8,60.555599,12.5,1
